序号,参数层级,模块,参数名,Solidity Key/入口,作用域与Key维度,状态,当前/样例原始值,可读值,数据类型,精度或单位,设置入口,所需权限,Limited Keeper可改,当前路径必填,用途,E2E测试关注点,来源,备注
1,部署初始化参数,Fx100Base,lpVaultEpochDuration,constructor / initialize / role grant,Fx100Base,样例值,604800,604800,uint256,秒/Unix时间,Hardhat Ignition 参数,部署账户 / 管理员,否,是/部署阶段,Fx100Base 的部署或初始化参数。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
2,部署初始化参数,Fx100Base,lpVaultEpochStartTime,constructor / initialize / role grant,Fx100Base,样例值,1784270470,1784270470,uint256,秒/Unix时间,Hardhat Ignition 参数,部署账户 / 管理员,否,是/部署阶段,Fx100Base 的部署或初始化参数。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
3,部署初始化参数,Fx100Base,lpVaultName,constructor / initialize / role grant,Fx100Base,样例值,FX100 LP USDC,FX100 LP USDC,string/uint/address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,是/部署阶段,Fx100Base 的部署或初始化参数。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
4,部署初始化参数,Fx100Base,lpVaultStrategy,constructor / initialize / role grant,Fx100Base,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Base 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
5,部署初始化参数,Fx100Base,lpVaultSymbol,constructor / initialize / role grant,Fx100Base,样例值,fxLP-USDC,fxLP-USDC,string/uint/address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,是/部署阶段,Fx100Base 的部署或初始化参数。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
6,部署初始化参数,Fx100Base,lpVaultWithdrawDelaySeconds,constructor / initialize / role grant,Fx100Base,样例值,604800,604800,uint256,秒/Unix时间,Hardhat Ignition 参数,部署账户 / 管理员,否,是/部署阶段,Fx100Base 的部署或初始化参数。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
7,部署初始化参数,Fx100Base,pyth,constructor / initialize / role grant,Fx100Base,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Base 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
8,部署初始化参数,Fx100Base,sequencerUptimeFeed,constructor / initialize / role grant,Fx100Base,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,秒/Unix时间,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Base 的部署或初始化参数。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
9,部署初始化参数,Fx100Fee,feeKeeper,constructor / initialize / role grant,Fx100Fee,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Fee 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
10,部署初始化参数,Fx100Fee,multisig,constructor / initialize / role grant,Fx100Fee,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Fee 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
11,部署初始化参数,Fx100Oracle,chainlinkPaymentToken,constructor / initialize / role grant,Fx100Oracle,样例值,0xE4aB69C077896252FAFBD49EFD26B5D171A32410,0xE4aB69C077896252FAFBD49EFD26B5D171A32410,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,是/部署阶段,Chainlink Data Stream 验证费用 Token。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
12,部署初始化参数,Fx100Oracle,dataStreamVerifier,constructor / initialize / role grant,Fx100Oracle,样例值,0x8Ac491b7c118a0cdcF048e0f707247fD8C9575f9,0x8Ac491b7c118a0cdcF048e0f707247fD8C9575f9,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,是/部署阶段,Fx100Oracle 的部署或初始化参数。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
13,部署初始化参数,Fx100Oracle,pyth,constructor / initialize / role grant,Fx100Oracle,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Oracle 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
14,部署初始化参数,Fx100Periphery,riskOracle,constructor / initialize / role grant,Fx100Periphery,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Periphery 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
15,部署初始化参数,Fx100Role,adlKeeper,constructor / initialize / role grant,Fx100Role,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Role 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
16,部署初始化参数,Fx100Role,configKeeper,constructor / initialize / role grant,Fx100Role,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Role 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
17,部署初始化参数,Fx100Role,holdingAddress,constructor / initialize / role grant,Fx100Role,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,超额执行费、异币种资金费等临时归集地址。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
18,部署初始化参数,Fx100Role,limitedConfigKeeper,constructor / initialize / role grant,Fx100Role,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Role 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
19,部署初始化参数,Fx100Role,liquidationKeeper,constructor / initialize / role grant,Fx100Role,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Role 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
20,部署初始化参数,Fx100Role,marketKeeper,constructor / initialize / role grant,Fx100Role,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Role 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
21,部署初始化参数,Fx100Role,orderKeeper,constructor / initialize / role grant,Fx100Role,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Role 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
22,部署初始化参数,Fx100Role,timelockAdmin,constructor / initialize / role grant,Fx100Role,样例值,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,address,秒/Unix时间,Hardhat Ignition 参数,部署账户 / 管理员,否,部署时必须替换或明确允许零地址,Fx100Role 的部署或初始化参数。,零地址、角色归属、目标网络地址,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
23,部署初始化参数,Fx100Usdc,mockUsdcInitialSupply,constructor / initialize / role grant,Fx100Usdc,样例值,10000000000000000n,10000000000000000n,string/uint/address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,是/部署阶段,Fx100Usdc 的部署或初始化参数。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
24,部署初始化参数,Fx100Usdc,usdc,constructor / initialize / role grant,Fx100Usdc,样例值,0x1e758baF8Bb30c289943C80dd02109Bdab6A2b2c,0x1e758baF8Bb30c289943C80dd02109Bdab6A2b2c,address,按参数定义,Hardhat Ignition 参数,部署账户 / 管理员,否,是/部署阶段,Fx100Usdc 的部署或初始化参数。,边界值、单位及初始化后只读值,ignition/parameters/fx100.sample.json,部署后通常不再通过 Config.set* 修改。
25,当前链上参数,订单与请求,MAX_AUTO_CANCEL_ORDERS,FX100Keys.MAX_AUTO_CANCEL_ORDERS,global 或按 Key builder,已设置,64,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,单仓自动取消订单数量上限。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
26,当前链上参数,订单与请求,MAX_DATA_LENGTH,FX100Keys.MAX_DATA_LENGTH,global 或按 Key builder,已设置,32,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,订单附加 dataList 最大长度。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
27,当前链上参数,订单与请求,REQUEST_EXPIRATION_TIME,FX100Keys.REQUEST_EXPIRATION_TIME,global 或按 Key builder,已设置,3600,3600 seconds,uint,秒,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,市价订单请求有效期。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
28,当前链上参数,定价与点差,ASK_ORDER_BOOK_DEPTH,FX100Keys.ASK_ORDER_BOOK_DEPTH,marketIndex=market#1,已设置,15593281790000000000000000000000000000,15593281.79 (USD(1e30)),uint,USD(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,买入方向价格冲击使用的订单簿深度。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
29,当前链上参数,定价与点差,ASK_ORDER_BOOK_DEPTH,FX100Keys.ASK_ORDER_BOOK_DEPTH,marketIndex=market#2,已设置,7923961270000000000000000000000000000,7923961.27 (USD(1e30)),uint,USD(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,买入方向价格冲击使用的订单簿深度。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
30,当前链上参数,定价与点差,BID_ORDER_BOOK_DEPTH,FX100Keys.BID_ORDER_BOOK_DEPTH,marketIndex=market#1,已设置,15217320430000000000000000000000000000,15217320.43 (USD(1e30)),uint,USD(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,卖出方向价格冲击使用的订单簿深度。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
31,当前链上参数,定价与点差,BID_ORDER_BOOK_DEPTH,FX100Keys.BID_ORDER_BOOK_DEPTH,marketIndex=market#2,已设置,7767179170000000000000000000000000000,7767179.17 (USD(1e30)),uint,USD(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,卖出方向价格冲击使用的订单簿深度。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
32,当前链上参数,定价与点差,CONSTANT_PRICE_SPREAD,FX100Keys.CONSTANT_PRICE_SPREAD,marketIndex=market#1,已设置,100000000000000,0.0001 (spread(1e18)),uint,spread(1e18),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,成交价的固定点差。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
33,当前链上参数,定价与点差,CONSTANT_PRICE_SPREAD,FX100Keys.CONSTANT_PRICE_SPREAD,marketIndex=market#2,已设置,100000000000000,0.0001 (spread(1e18)),uint,spread(1e18),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,成交价的固定点差。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
34,当前链上参数,定价与点差,MAX_POSITION_IMPACT_FACTOR,FX100Keys.MAX_POSITION_IMPACT_FACTOR,"marketIndex=market#1, isPositive=false",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,合约允许配置项：max position impact factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
35,当前链上参数,定价与点差,MAX_POSITION_IMPACT_FACTOR,FX100Keys.MAX_POSITION_IMPACT_FACTOR,"marketIndex=market#1, isPositive=true",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,合约允许配置项：max position impact factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
